Product code	Product name	Product code	Vendor name	Selling units	Packing units	pack /selling units	ไข่ (ฟอง) /pack	ไข่ (ฟอง) /selling units	Packaging cost per selling units	Packaging cost per ฟอง	Size ไข่ A 	Size ไข่ B	% SKU A	ฟองต่อ/selling units A	ฟองต่อ/selling units B	SKU size	Size ตะกร้า	pack ฐาน	ฝาครอบ	ฉลาก barcode SKUs	ฉลาก label/sticker	Closer 1	Closer 2	ฉลาก barcode Bulk
30504	ไข่ไก่เบอร์ 5 บรรจุ 30 ฟอง/ถาด	30504	TT	ถาด	ถาด	1.000	30	30	#REF!	#REF!	5		100%	30	0	5	no	90001		91214				
30604	ไข่ไก่เบอร์ 6 บรรจุ 30 ฟอง/ถาด	30604	TT	ถาด	ถาด	1.000	30	30	#REF!	#REF!	6		100%	30	0	6	no	90001		91214				
32304	ไข่ไก่เบอร์ 2-3 บรรจุ 30 ฟอง/แพ็ค	32304	TT	ถาด	ถาด	1.000	30	30	#REF!	#REF!	2	3	50%	15	15	2-3 M	no	90001		91214				
33404	ไข่ไก่เบอร์ 3-4 บรรจุ 30 ฟอง/แพ็ค	33404	TT	ถาด	ถาด	1.000	30	30	#REF!	#REF!	3	4	50%	15	15	3-4 S	no	90001		91214				
B0001	2000005718809 WRF_ไข่ไก่คละ (10ฟอง) ตราบิ๊กซี (14 แพ็ค/ตระกร้า)	B0001	BC	ตะกร้า	แพ็ค 10	14.000	10	140	#REF!	#REF!	3	4	15%	21	119	3-4 S	M	90009		91214	91116			91213
B0002	2000007074286 WRF_ไข่ไก่คละ (30ฟอง) ตราบิ๊กซี (2ถาด/ตระกร้า)	B0002	BC	ตะกร้า	ถาด/ครอบ	2.000	30	60	#REF!	#REF!	3	4	50%	30	30	3-4 S	S	90001	90005	91214	91102	90013		91213
B0003	2000003703081 WRF_ไข่ไก่คละ (30ฟอง) ตราบิ๊กซี (6ถาด/ตระกร้า)	B0003	BC	ตะกร้า	ถาด/ครอบ	6.000	30	180	#REF!	#REF!	3	4	50%	90	90	3-4 S	M	90001	90005	91214	91101	90013		91213
B0004	2000007421271 WRF_ไข่ไก่คละขนาด 2+3 (30 ฟอง) ตราบิ๊กซี (6ถาด/ตะกร้า)	B0004	BC	ตะกร้า	ถาด/ครอบ	6.000	30	180	#REF!	#REF!	2	3	50%	90	90	2-3 M	M	90001	90005	91214	91105	90013		91213
B0005	2000004617912 WRF_ไข่ไก่เบอร์ 0 แพ็ค 10 ฟอง ตราบิ๊กซี (14 แพ็ค/ตะกร้า)	B0005	BC	ตะกร้า	แพ็ค 10 - ใหญ่	14.000	10	140	#REF!	#REF!	0		100%	140	0	0	M	90010		91214	91113			91213
B0006	200000355610 WRF_ไข่ไก่เบอร์ 1 แพ็ค 10 ฟอง ตราบิ๊กซี (14 แพ็ค/ตะกร้า)	B0006	BC	ตะกร้า	แพ็ค 10	14.000	10	140	#REF!	#REF!	1		100%	140	0	1	M	90009		91214	91114			91213
B0007	8858912604104 WRF_ไข่ไก่เบอร์ 1 แพ็ค 10 ฟอง ตราบิ๊กซี (7 แพ็ค/ตะกร้า)	B0007	BC	ตะกร้า	แพ็ค 10	7.000	10	70	#REF!	#REF!	1		100%	70	0	1	S	90009		91214	91111			91213
B0008	8858912601042 WRF_ไข่ไก่เบอร์ 1 แพ็ค 4 ฟอง (6 แพ็ค/ตะกร้า)	B0008	BC	ตะกร้า	แพ็ค 4	6.000	4	24	#REF!	#REF!	1		100%	24	0	1	A	90007		91214	91110			91213
B0009	2001009905257 WRF_ไข่ไก่เบอร์ 2 (30ฟอง) ตราบิ๊กซี (6ถาด/ตระกร้า)	B0009	BC	ตะกร้า	ถาด	6.000	30	180	#REF!	#REF!	2		100%	180	0	2	M	90001		91214	91104			91213
